"name","team","position","height_inches","wingspan_inches","wingspan_advantage","g","mp","pts","orb","drb","trb","ast","stl","blk","o_rtg","d_rtg","e_fg_percent","ft_percent","fg_percent","avg_dist_of_fg","X2pt_rate","X3pt_rate","X2pt_percent","X3pt_percent","dunk_rate","residuals","fitted"
"Delon Wright","NYK","PG",76.25,79.5,3.25,40,635,9.6,2.1,3,5.1,5.9,2.7,0.9,105,114,0.42,0.6,0.344,15.6,0.443,0.557,0.431,0.274,0,-1.73767370797751,6.83767370797751
"Deni Avdija","POR","SF",80.75,80.5,-0.25,72,2161,27.4,2.5,9.3,11.7,6.3,1.6,0.8,116,113,0.55,0.78,0.476,12.9,0.595,0.405,0.552,0.365,0.027,4.16358333495748,7.53641666504252
"Dennis SchrÃ¶der","DET","PG",73,79.75,6.75,75,2105,22.7,0.6,4,4.6,9.4,1.5,0.3,111,117,0.483,0.838,0.406,16.7,0.551,0.449,0.458,0.342,0,-2.41235944724377,7.01235944724377
"Derrick Jones Jr.","LAC","PF",78,84,6,77,1873,20.5,2.4,4.5,6.9,1.6,2.1,0.9,118,112,0.593,0.703,0.526,11.4,0.628,0.372,0.627,0.356,0.209,-3.08201701477005,9.98201701477005
"Derrick White","BOS","SG",75.25,79.5,4.25,76,2574,24.3,1.3,5.3,6.6,7,1.4,1.6,123,112,0.58,0.839,0.442,20.7,0.279,0.721,0.593,0.384,0.009,-0.237673707977515,6.83767370797751
"Desmond Bane","MEM","SG",77,76.25,-0.75,69,2205,28,1.3,7.5,8.8,7.8,1.7,0.6,119,113,0.565,0.894,0.484,14.7,0.589,0.411,0.548,0.392,0.005,4.23324090248376,4.56675909751624
"Devin Booker","PHX","SG",76.5,80.25,3.75,75,2795,34,1.3,4.1,5.4,9.4,1.2,0.3,119,123,0.525,0.894,0.461,16.2,0.612,0.388,0.542,0.332,0.013,-1.96173092577627,7.36173092577627
"Devin Carter","SAC","SG",74.25,80.75,6.5,36,396,17,2.3,7,9.4,5.1,2.6,0.5,104,114,0.441,0.591,0.37,15.6,0.52,0.48,0.439,0.295,0.063,1.68889759569123,7.71110240430877
"Devin Vassell","SAS","SG",77,82,5,64,1983,25.4,0.8,5.4,6.2,4.5,2,0.8,109,118,0.532,0.792,0.443,17.2,0.517,0.483,0.513,0.368,0.046,-2.38453110064004,8.58453110064004
"Dillon Brooks","HOU","SF",77,78,1,75,2388,21.5,1.5,4.1,5.6,2.6,1.2,0.3,117,114,0.533,0.818,0.429,17.3,0.476,0.524,0.465,0.397,0.019,-0.189559272380002,5.78955927238
"Dillon Jones","OKC","SF",76.5,83,6.5,54,551,11.8,2.6,7.9,10.5,5.1,1.4,0.3,103,109,0.444,0.607,0.383,14.4,0.526,0.474,0.5,0.254,0,1.21672594229496,9.28327405770504
"Domantas Sabonis","SAC","C",82,83,1,70,2429,26.9,5.4,14.2,19.6,8.5,1,0.5,128,114,0.627,0.754,0.59,8.1,0.825,0.175,0.627,0.417,0.097,10.316725942295,9.28327405770504
"Dominick Barlow","ATL","PF",80.75,87,6.25,35,375,18.5,4.4,6.2,10.6,2.4,1.1,2,129,116,0.562,0.636,0.531,9.3,0.761,0.239,0.616,0.259,0.159,-1.47824588596508,12.0782458859651
"Donovan Clingan","POR","C",85.75,90.75,5,67,1324,16,8,11.4,19.3,2.8,1.2,4,120,109,0.56,0.596,0.539,5.8,0.853,0.147,0.582,0.286,0.207,4.60146802504114,14.6985319749589
"Donovan Mitchell","CLE","SG",73.25,82,8.75,71,2232,36.7,1.2,5.7,6.9,7.6,2,0.4,118,113,0.531,0.823,0.443,17,0.52,0.48,0.512,0.368,0.014,-1.68453110064003,8.58453110064004
"Donte DiVincenzo","MIN","SG",75.5,78,2.5,62,1606,22.2,1,6,7,6.9,2.2,0.5,115,111,0.568,0.778,0.422,20.5,0.261,0.739,0.49,0.397,0.013,1.21044072762,5.78955927238
"Dorian Finney-Smith","LAL","SF",78.5,83.75,5.25,63,1818,14.9,2.2,4.5,6.7,2.4,1.6,0.6,118,117,0.597,0.667,0.448,18.8,0.278,0.722,0.545,0.411,0.037,-3.1073312755038,9.8073312755038
"Doug McDermott","SAC","SF",78.25,81.25,3,42,342,21,0.4,2.7,3.1,1,0.6,0.3,119,122,0.615,0.6,0.427,23.3,0.137,0.863,0.375,0.436,0.009,-4.96047388284128,8.06047388284128
"Draymond Green","GSW","PF",77.75,85.25,7.5,68,1983,15,1.8,8.3,10.2,9.4,2.4,1.7,107,109,0.503,0.687,0.424,14.9,0.517,0.483,0.517,0.325,0.029,-0.655445711101314,10.8554457111013
"Drew Eubanks","LAC","C",81,83,2,61,746,18.1,3.9,10.7,14.6,3.5,0.8,2.5,120,115,0.601,0.662,0.593,4.7,0.969,0.031,0.596,0.5,0.289,5.31672594229496,9.28327405770504
"Duop Reath","POR","C",81,85,4,46,469,20.1,4.6,5,9.5,2.7,1.2,1.5,120,116,0.524,0.909,0.422,17.5,0.361,0.639,0.6,0.321,0.03,-1.18075997183506,10.6807599718351
"Dyson Daniels","ATL","SG",78,82.5,4.5,76,2571,19.5,2.3,5.9,8.2,6.1,4.2,1,110,111,0.536,0.593,0.493,10.4,0.745,0.255,0.545,0.34,0.054,-0.73390257917254,8.93390257917254
"E.J. Liddell","CHI","PF",77.5,83.75,6.25,12,53,18.5,2.6,5.3,7.9,2.6,0.9,0.9,126,118,0.633,1,0.533,20.3,0.333,0.667,1,0.3,0,-1.9073312755038,9.8073312755038
"Eric Gordon","PHI","SG",74,81,7,39,768,17.1,0.5,2.4,3,4.2,1.7,0.8,116,122,0.564,0.75,0.426,19.9,0.328,0.672,0.463,0.409,0.005,-4.88578814357503,7.88578814357503
"Evan Mobley","CLE","PF",83,88,5,71,2167,29.2,3.6,11,14.6,5,1.4,2.5,124,108,0.604,0.725,0.557,9.4,0.746,0.254,0.621,0.37,0.22,1.82301115696991,12.7769888430301
"Franz Wagner","ORL","SF",81,83.5,2.5,60,2023,35.8,1.4,7.1,8.4,7,1.9,0.5,113,110,0.507,0.871,0.463,12.5,0.697,0.303,0.535,0.295,0.036,-1.23264553623755,9.63264553623755
"Fred VanVleet","HOU","PG",72,74,2,60,2111,19.5,0.7,4.4,5.1,7.7,2.2,0.6,117,112,0.483,0.81,0.378,20.2,0.393,0.607,0.43,0.345,0,2.10541255588003,2.99458744411997
"GG Jackson II","MEM","PF",80.25,83.5,3.25,29,459,21.2,2.7,6.6,9.3,2.9,1.2,0.5,99,115,0.452,0.725,0.372,14.6,0.523,0.477,0.404,0.337,0.085,-0.332645536237547,9.63264553623755
"Gary Harris","ORL","SG",74.5,78.75,4.25,48,711,10.2,1.4,3.1,4.5,2.1,1.8,0.8,107,112,0.519,0.583,0.383,20.7,0.241,0.759,0.469,0.356,0.008,-1.81361649017876,6.31361649017876
"Gary Payton II","GSW","SG",74,80,6,62,927,21,2.8,6.9,9.7,4.4,2.7,0.9,124,110,0.626,0.711,0.574,10.1,0.681,0.319,0.69,0.326,0.128,2.51295481348998,7.18704518651002
"Gary Trent Jr.","MIL","SG",76.25,80.75,4.5,74,1893,21,0.5,3.8,4.3,2.2,1.8,0.1,115,116,0.568,0.848,0.431,20.4,0.341,0.659,0.46,0.416,0.003,-3.41110240430877,7.71110240430878
"Georges Niang","ATL","PF",78.75,82,3.25,79,1697,22,1.3,6.3,7.6,3.1,0.8,0.4,115,117,0.595,0.793,0.461,18.1,0.34,0.66,0.569,0.406,0,-0.984531100640036,8.58453110064004
"Giannis Antetokounmpo","MIL","PF",83,87,4,67,2289,43,3.1,13.8,16.9,9.1,1.2,1.6,122,109,0.607,0.617,0.601,7,0.952,0.048,0.62,0.222,0.205,4.82175411403492,12.0782458859651
"Goga Bitadze","ORL","C",82.5,86,3.5,70,1430,17.5,5.8,10.3,16.2,4.8,1.7,3.4,127,105,0.615,0.639,0.611,4.9,0.917,0.083,0.656,0.107,0.289,4.82049707109993,11.3795029289001
"Gradey Dick","TOR","SG",78.25,80.75,2.5,54,1587,23.6,1.3,4.5,5.9,3,1.5,0.3,107,117,0.498,0.858,0.41,16.3,0.496,0.504,0.47,0.35,0.034,-1.81110240430877,7.71110240430877
"Grant Williams","CHA","PF",77.75,81.75,4,16,479,17,1.8,6.6,8.4,3.8,1.8,1.3,112,116,0.549,0.838,0.439,17.9,0.398,0.602,0.551,0.365,0.024,-0.00984536137378278,8.40984536137378
"Grayson Allen","PHX","SG",75,79.25,4.25,64,1544,21.8,1.1,5.1,6.2,4.4,1.7,0.6,119,120,0.6,0.816,0.448,20,0.284,0.716,0.504,0.426,0.018,-0.462987968711262,6.66298796871126
"Guerschon Yabusele","PHI","PF",79.5,85,5.5,70,1895,20,3.5,6.8,10.3,3.9,1.5,0.6,122,119,0.593,0.725,0.501,14.4,0.513,0.487,0.616,0.38,0.089,-0.38075997183506,10.6807599718351
"Harrison Barnes","SAS","PF",79,83.25,4.25,82,2230,21.9,2.1,4.6,6.7,2.9,0.8,0.3,132,122,0.622,0.809,0.508,14.8,0.473,0.527,0.591,0.433,0.042,-2.7579597969713,9.4579597969713
"Haywood Highsmith","MIA","SF",77,83.5,7,74,1818,13.1,2,4.9,6.9,3.1,1.9,1,116,114,0.572,0.721,0.458,16.4,0.404,0.596,0.57,0.382,0.049,-2.73264553623755,9.63264553623755
"Herbert Jones","NOP","SF",78,84.25,6.25,20,648,15.3,1.6,4.2,5.8,4.9,2.8,0.7,108,119,0.5,0.825,0.436,13.5,0.581,0.419,0.53,0.306,0.029,-4.3567027540363,10.1567027540363
"Immanuel Quickley","TOR","PG",74,80.25,6.25,33,918,29.6,0.8,5.3,6.1,10,1.2,0.2,119,117,0.517,0.867,0.42,17.3,0.486,0.514,0.465,0.378,0.002,-1.26173092577627,7.36173092577627
"Isaac Okoro","CLE","SF",77,80.5,3.5,55,1053,15.4,2.2,3.7,5.9,3.1,1.5,0.7,125,115,0.569,0.717,0.464,14.8,0.434,0.566,0.586,0.371,0.052,-1.63641666504252,7.53641666504252
"Isaiah Collier","UTA","PG",74.5,76.75,2.25,71,1839,16,0.8,5.3,6.1,11.6,1.7,0.4,99,121,0.459,0.682,0.422,12,0.695,0.305,0.497,0.249,0.027,1.18386942395126,4.91613057604874
"Isaiah Hartenstein","OKC","C",83.5,86.25,2.75,57,1590,19.2,4.9,13.5,18.4,6.6,1.4,1.9,124,104,0.581,0.675,0.581,6.7,0.96,0.04,0.605,0,0.2,6.84581133183368,11.5541886681663
"Isaiah Joe","OKC","SG",75,79.5,4.5,74,1604,22.6,1.2,4.6,5.9,3.6,1.4,0.3,125,112,0.604,0.821,0.44,22.3,0.207,0.793,0.549,0.412,0.015,-0.937673707977514,6.83767370797751
"Isaiah Stewart","DET","C",79.25,88.75,9.5,72,1434,14.6,4.4,9,13.4,4.1,0.9,3.4,125,110,0.586,0.759,0.559,7.2,0.832,0.168,0.607,0.321,0.111,0.0989539391711582,13.3010460608288
"JD Davison","BOS","PG",72.5,78.5,6,16,93,17.8,1.1,5.9,7,7,2.7,0.5,82,110,0.412,0.714,0.353,17.8,0.471,0.529,0.5,0.222,0.059,0.861069249087494,6.13893075091251
"JT Thor","WAS","PF",80.5,87.25,6.75,20,249,13.6,3.8,5.4,9.2,1.1,1.5,1.7,106,118,0.475,0.682,0.424,14,0.644,0.356,0.5,0.286,0.102,-3.05293162523133,12.2529316252313
"Ja Morant","MEM","PG",74.5,78,3.5,50,1519,35.5,1,5.2,6.3,11.1,1.9,0.4,113,115,0.504,0.824,0.454,12.7,0.679,0.321,0.523,0.309,0.022,0.510440727619998,5.78955927238
"Ja'Kobe Walter","TOR","PG",76.25,82,5.75,52,1103,19.6,2.6,4.4,7,3.5,1.9,0.4,108,116,0.487,0.795,0.405,15,0.527,0.473,0.454,0.349,0.041,-1.58453110064004,8.58453110064004
"Jabari Smith Jr.","HOU","PF",82.5,85,2.5,57,1716,19.8,3,8.3,11.3,1.7,0.7,1.2,118,112,0.525,0.825,0.438,16.2,0.511,0.489,0.519,0.354,0.057,0.61924002816494,10.6807599718351
"Jabari Walker","POR","PF",78.75,82.75,4,60,749,20.3,3.8,9.9,13.7,2.4,2.1,0.4,120,112,0.576,0.69,0.515,10.1,0.686,0.314,0.573,0.389,0.07,4.59141168156121,9.10858831843879
"Jaden Hardy","DAL","SG",75.5,81,5.5,57,907,26.5,0.5,4.3,4.7,4.3,1.5,0.3,99,119,0.527,0.698,0.435,16.2,0.524,0.476,0.479,0.386,0.027,-3.18578814357503,7.88578814357503
"Jaden Ivey","DET","SG",75.5,81,5.5,30,898,28.3,2.1,4.5,6.6,6.4,1.5,0.6,108,115,0.536,0.733,0.46,13.7,0.627,0.373,0.49,0.409,0.024,-1.28578814357503,7.88578814357503
"Jaden McDaniels","MIN","SF",81,83,2,82,2614,18.9,2.4,6.4,8.9,3.1,2.1,1.4,115,110,0.537,0.813,0.477,12.8,0.637,0.363,0.561,0.33,0.074,-0.383274057705043,9.28327405770504
"Jaden Springer","UTA","SG",75,79.75,4.75,43,365,14.6,2.3,5.5,7.8,4.4,3.2,0.5,110,114,0.456,0.711,0.389,16.6,0.467,0.533,0.548,0.25,0.033,0.787640552756234,7.01235944724377
"Jae Crowder","SAC","PF",76.75,81.25,4.5,9,103,10.9,2.8,6.6,9.5,2.8,1.4,0,103,118,0.409,0.833,0.318,20.6,0.318,0.682,0.429,0.267,0,1.43952611715872,8.06047388284128
"Jae'Sean Tate","HOU","PF",76,80,4,52,588,15.6,4.1,5.5,9.7,3.9,2.2,0.6,122,111,0.527,0.681,0.473,10.4,0.689,0.311,0.529,0.348,0.041,2.51295481348998,7.18704518651002
"Jaime Jaquez Jr.","MIA","SF",78,81.5,3.5,66,1368,20.8,3.1,7.5,10.6,6.1,2.2,0.5,108,112,0.501,0.754,0.461,9.9,0.742,0.258,0.513,0.311,0.032,2.36484037789247,8.23515962210753
"Jake LaRavia","SAC","SF",78.75,81.5,2.75,66,1349,16,3.1,5.9,9,5.5,2.2,0.8,117,114,0.564,0.678,0.475,14.6,0.579,0.421,0.513,0.423,0.074,0.764840377892469,8.23515962210753
"Jakob Poeltl","TOR","C",84.25,86.75,2.5,57,1686,23.5,5.4,10.2,15.6,4.5,1.9,2,122,110,0.628,0.674,0.627,5,0.995,0.005,0.628,0.333,0.055,3.69643985330117,11.9035601466988
"Jalen Brunson","NYK","PG",73,76,3,65,2301,36.4,0.6,3.5,4,10.2,1.3,0.2,123,118,0.551,0.821,0.488,14.2,0.669,0.331,0.539,0.383,0,-0.392073358249984,4.39207335824998
"Jalen Green","HOU","SG",76,79.5,3.5,82,2697,31.1,0.8,6,6.8,5.1,1.3,0.5,110,113,0.505,0.813,0.423,16.3,0.54,0.46,0.482,0.354,0.046,-0.0376737079775144,6.83767370797751
"Jalen Hood-Schifino","PHI","PG",76.25,82.25,6,15,315,16.6,0.5,3.8,4.2,5.8,0.8,1.1,100,122,0.449,0.857,0.378,16.8,0.531,0.469,0.442,0.304,0,-4.55921683990629,8.75921683990629
"Jalen Johnson","ATL","PF",79.75,84.25,4.5,36,1284,24.8,2.3,10.8,13.1,6.6,2,1.3,110,113,0.541,0.746,0.5,10.2,0.74,0.26,0.566,0.312,0.127,2.9432972459637,10.1567027540363
"Jalen Pickett","DEN","PG",74,79.25,5.25,49,666,14.4,1.1,4,5.1,7.7,1.4,0.4,120,119,0.539,0.75,0.428,18.8,0.439,0.561,0.468,0.396,0,-1.56298796871126,6.66298796871126
"Jalen Smith","CHI","PF",81.25,86.25,5,64,962,25.4,4.3,13,17.3,3.2,0.8,2.1,120,112,0.554,0.809,0.466,15.4,0.456,0.544,0.634,0.324,0.071,5.74581133183368,11.5541886681663
"Jalen Suggs","ORL","PG",75.5,77.5,2,35,1002,28.3,1.1,5.9,7,6.4,2.5,1.6,101,108,0.489,0.882,0.41,17.7,0.497,0.503,0.506,0.314,0.008,1.5598122061525,5.4401877938475
"Jalen Williams","OKC","SG",76.5,86.25,9.75,69,2237,32,1.3,6.7,7.9,7.6,2.4,1,116,107,0.537,0.789,0.484,13.3,0.709,0.291,0.533,0.365,0.069,-3.65418866816632,11.5541886681663
"Jalen Wilson","BKN","SF",77.5,80,2.5,79,2031,18.4,1.8,4.8,6.6,3.6,1,0.1,110,119,0.495,0.818,0.397,16.9,0.416,0.584,0.481,0.337,0.002,-0.587045186510019,7.18704518651002
"Jamal Murray","DEN","PG",75.5,78.5,3,67,2418,28.6,0.9,4.3,5.2,8,1.8,0.7,120,118,0.543,0.886,0.474,15.6,0.646,0.354,0.518,0.393,0.012,-0.938930750912505,6.13893075091251
"Jamal Shead","TOR","PG",72.25,75,2.75,75,1467,17.5,1,2.8,3.8,10.4,1.9,0.3,104,117,0.476,0.768,0.405,15.3,0.558,0.442,0.47,0.323,0.016,0.106669598815025,3.69333040118498
"James Harden","LAC","SG",76,82.75,6.75,79,2789,31.8,1,7.1,8.1,12.1,2.1,1,114,110,0.501,0.874,0.41,17.3,0.484,0.516,0.472,0.352,0.003,-1.00858831843879,9.10858831843879
"Jarace Walker","IND","PF",78.5,86.5,8,75,1187,18.7,1,8.3,9.3,4.5,2.2,1,106,112,0.576,0.667,0.472,16.4,0.486,0.514,0.543,0.405,0.081,-2.42887440743257,11.7288744074326
"Jared McCain","PHI","SG",74,75.5,1.5,23,592,29.3,1.1,3.6,4.7,5,1.2,0,113,123,0.553,0.875,0.46,16,0.515,0.485,0.532,0.383,0.007,0.65729812028252,4.04270187971748
"Jaren Jackson Jr.","MEM","PF",81.75,89.25,7.5,74,2207,34.6,1.9,6.9,8.8,3.1,1.9,2.4,115,111,0.548,0.781,0.488,13.1,0.679,0.321,0.541,0.375,0.029,-4.85041753936135,13.6504175393613
"Jarred Vanderbilt","LAL","PF",80.5,85,4.5,36,581,12.4,5.8,9.7,15.4,3.5,3,0.8,115,110,0.525,0.556,0.488,8.2,0.736,0.264,0.562,0.281,0.289,4.71924002816494,10.6807599718351
"Jarrett Allen","CLE","C",81,89.25,8.25,82,2296,23.1,4.5,12.2,16.7,3.3,1.6,1.5,142,108,0.706,0.718,0.706,3.6,0.992,0.008,0.712,0,0.272,3.04958246063865,13.6504175393613
"Jaxson Hayes","LAL","C",82.25,87.5,5.25,56,1093,17.2,3.5,8.6,12.1,2.6,1.4,2.3,135,112,0.722,0.622,0.722,2.9,0.987,0.013,0.732,0,0.578,-0.327617364497583,12.4276173644976
"Jaylen Brown","BOS","SF",77.25,83.75,6.5,63,2158,32.5,1.9,6.6,8.6,6.6,1.7,0.4,112,112,0.515,0.764,0.463,13.4,0.68,0.32,0.529,0.324,0.045,-1.2073312755038,9.8073312755038
"Jaylen Clark","MIN","SG",76,81,5,40,522,15.4,2.5,2.6,5,2.5,3.4,0.2,130,111,0.558,0.784,0.467,13.4,0.575,0.425,0.493,0.431,0.025,-2.88578814357503,7.88578814357503
"Jaylen Wells","MEM","SF",78.5,79.25,0.75,79,2043,18.7,2,4.1,6.1,3.1,1,0.2,117,118,0.527,0.822,0.425,17.4,0.42,0.58,0.525,0.352,0.036,-0.562987968711262,6.66298796871126
"Jaylin Williams","OKC","C",80.75,85,4.25,47,784,17,2.9,13.1,16,7.3,1.3,1.8,127,104,0.577,0.767,0.439,19.7,0.308,0.692,0.529,0.399,0.059,5.31924002816494,10.6807599718351
"Jaylon Tyson","CLE","SG",77.5,80,2.5,47,453,17.7,3.9,6.3,10.2,4.7,1.4,0.3,111,114,0.497,0.792,0.43,12.4,0.611,0.389,0.484,0.345,0.047,3.01295481348998,7.18704518651002
"Jayson Tatum","BOS","SF",79.5,83,3.5,72,2624,36.9,0.9,11,11.9,8.2,1.5,0.7,117,110,0.537,0.814,0.452,17.1,0.503,0.497,0.559,0.343,0.059,2.61672594229496,9.28327405770504
"Jeff Green","HOU","PF",79,85.25,6.25,32,396,21.1,1.4,5.8,7.1,2.5,0.7,0.5,134,114,0.624,0.808,0.504,18.5,0.347,0.653,0.762,0.367,0.074,-3.75544571110131,10.8554457111013
"Jerami Grant","POR","PF",78.5,86.75,8.25,47,1524,21.6,0.8,4.4,5.2,3.2,1.3,1.5,109,117,0.467,0.849,0.373,16,0.484,0.516,0.381,0.365,0.035,-6.70356014669883,11.9035601466988
"Jeremiah Robinson-Earl","NOP","PF",79.75,81.75,2,66,1239,16.3,4.3,8,12.3,3.4,1.5,0.3,117,120,0.536,0.836,0.455,14,0.527,0.473,0.557,0.341,0.026,3.89015463862622,8.40984536137378
"Jeremy Sochan","SAS","PF",80.5,83.75,3.25,54,1364,21.9,4.5,8,12.5,4.5,1.6,1,116,117,0.565,0.696,0.535,7.4,0.806,0.194,0.59,0.308,0.196,2.6926687244962,9.8073312755038
"Jett Howard","ORL","SF",80,81,1,60,701,19,1.4,3.6,5,3.1,0.9,0.8,97,114,0.479,0.696,0.374,20.8,0.29,0.71,0.566,0.296,0.027,-2.88578814357503,7.88578814357503
"Jevon Carter","CHI","PG",72.25,76.25,4,36,321,22.2,0.6,5.1,5.7,5.8,1.9,0.4,107,117,0.497,0.8,0.377,20.3,0.281,0.719,0.488,0.333,0.007,1.13324090248376,4.56675909751624
"Jimmy Butler","GSW","SF",78,79.5,1.5,55,1746,27.2,3.5,4.8,8.3,8.4,2.2,0.5,136,113,0.531,0.842,0.504,9,0.826,0.174,0.546,0.308,0.092,1.46232629202249,6.83767370797751
"Jock Landale","HOU","C",83,86,3,42,500,19.5,5.5,7.9,13.3,3.6,1.3,1,126,111,0.569,0.675,0.533,9.2,0.829,0.171,0.556,0.423,0.105,1.92049707109993,11.3795029289001
"Joel Embiid","PHI","C",83.75,89,5.25,19,574,38.8,3.1,10.2,13.3,7.3,1.2,1.5,114,116,0.481,0.882,0.444,13.5,0.756,0.244,0.492,0.299,0.016,-0.175731800095095,13.4757318000951
"John Collins","UTA","PF",80.25,83.25,3,40,1220,29.8,3.5,9.4,12.9,3.1,1.5,1.6,116,118,0.583,0.848,0.527,11,0.721,0.279,0.577,0.399,0.13,3.4420402030287,9.4579597969713
"John Konchar","MEM","SF",76.75,80,3.25,46,558,9.3,3.1,9.5,12.6,3.5,2.5,1.2,128,110,0.577,0.875,0.451,18,0.319,0.681,0.621,0.371,0.011,5.41295481348998,7.18704518651002
"Johnny Furphy","IND","SF",79.5,80,0.5,50,379,13.1,2.9,6.1,9,2.4,2.3,1.4,108,113,0.462,0.818,0.38,15.3,0.457,0.543,0.476,0.3,0.098,1.81295481348998,7.18704518651002
"Jonas ValanÄiÅ«nas","SAC","C",83,89,6,81,1524,26.6,6,13.8,19.8,5.2,1.2,1.4,118,114,0.557,0.879,0.55,7.3,0.941,0.059,0.571,0.216,0.07,6.32426819990491,13.4757318000951
"Jonathan Isaac","ORL","PF",82.5,85,2.5,71,1090,17.4,5.5,8.9,14.4,1.8,2.8,3.7,113,103,0.474,0.682,0.414,14.1,0.534,0.466,0.549,0.258,0.16,3.71924002816494,10.6807599718351
